step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,30.83289550303134,False,True,bad
2,99.67839436360673,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,32.18702781201051,False,True,bad
3,99.8426241003642,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,15.724624491114632,True,True,ok
4,99.81775621291175,99.99880291759135,99.39398708188521,100.54593629128675,28.999999999999996,30.999999999999993,99.70880638913033,100.3087992066359,18.12129635412216,True,True,ok
5,99.83778655022516,99.85890254661679,99.2396573726249,99.83778655022518,28.999999999999996,30.999999999999993,99.5693117292316,100.16846514451132,2.1148068669372226,True,True,good
6,99.88589919778433,99.74070425466391,99.28748177683141,99.88589919778434,28.999999999999996,30.999999999999993,99.45145621232538,100.04990043785338,14.54665522657465,True,True,ok
7,99.90120370558397,99.75723335147484,99.30269459517179,99.90120370558398,28.999999999999996,30.999999999999993,99.46793737475556,100.06648077486442,14.421667442081803,True,True,ok
8,100.04203460294946,99.89699128589388,99.44268177322282,100.04203460294944,28.999999999999996,30.999999999999993,99.60729001116478,100.20667195888015,14.508757542883385,True,False,ok
9,100.0454739906732,99.89113096263385,99.14118708617625,100.34626882487682,28.999999999999996,30.999999999999993,99.60144668284221,100.20079346861803,15.439199713750419,True,True,ok
10,100.06520297664015,99.91974739611045,99.46571134495507,100.06520297664014,28.999999999999996,30.999999999999993,99.62998012866173,100.2294986130384,14.546655226594604,True,False,ok
11,99.91246127540013,99.7799576254277,99.32112716613291,99.91974737183504,28.999999999999996,30.999999999999993,99.49059574831395,100.08927549406654,13.270776141445845,True,True,ok
12,99.99262688241636,99.8435925437485,99.39357005483753,99.99262688241635,28.999999999999996,30.999999999999993,99.55404612537163,100.15310768063414,14.91565109932156,True,False,ok
13,99.95253665671771,99.8435925437485,99.39357005483753,99.99262688241635,28.999999999999996,30.999999999999993,99.55404612537163,100.15310768063414,10.90552897120602,True,True,good
14,100.03152588873687,99.8435925437485,99.39357005483753,99.99262688241635,28.999999999999996,30.999999999999993,99.55404612537163,100.15310768063414,18.80508207772912,True,False,ok
15,100.05654516501023,99.83788874687059,98.94471232860538,100.44623842047774,28.999999999999996,30.999999999999993,99.54835886950467,100.1473862019859,21.877197985977773,True,True,ok
16,99.97388834514528,99.83788874687059,98.94471232860538,100.44623842047774,28.999999999999996,30.999999999999993,99.54835886950467,100.1473862019859,13.61277310631525,True,True,ok
17,100.07719565982246,99.8324006329824,98.59864211402083,100.79879349161337,28.999999999999996,30.999999999999993,99.54288667114675,100.14188107494465,24.490585117878204,True,True,ok
18,100.13557486812107,99.824975675125,98.32539284900476,101.07891641243798,28.999999999999996,30.999999999999993,99.53548324566714,100.1344330997179,31.066071977879066,False,True,bad
19,100.11344546636744,99.96361380943472,99.51366481344397,100.11344546636744,28.999999999999996,30.999999999999993,99.67371932938735,100.27350101224398,14.977397757033408,True,True,ok
20,100.0115430175656,99.96361380943472,99.51366481344397,100.11344546636744,28.999999999999996,30.999999999999993,99.67371932938735,100.27350101224398,4.793516335641071,True,True,good
21,99.98132429804349,99.82376266874235,99.49564316263105,100.09531519692901,28.999999999999996,30.999999999999993,99.53427375700299,100.13321633301545,15.771536586293411,True,True,ok
22,99.88417390966177,99.8229005307955,99.21481694405288,100.37863365409045,28.999999999999996,30.999999999999993,99.53341411925618,100.13235152244097,6.136325511816807,True,True,good
23,99.92738125027716,99.96275046364946,99.92738125027715,100.52965542120212,28.999999999999996,30.999999999999993,99.67285848730486,100.27263499008679,3.5388654195325904,True,True,good
24,99.75791687241569,99.90188821298722,99.75791687241569,100.35916966144913,28.999999999999996,30.999999999999993,99.61217273716956,100.21158406644749,14.421667442088694,True,True,ok
25,100.03476597428987,99.90778202223439,99.383620798894,100.73713982236922,28.999999999999996,30.999999999999993,99.61804945436991,100.21749614650332,12.702045702737367,True,True,ok
