step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
0,0,retail,submission,sell,0.009909838001249227,0.9939645118308872,100.0,0.0029807117059644783,100.0198226225385,100.14009804574935,31.999999999999996,28.94025121470364,True
0,1,retail,normalizer,sell,0.004895415583305862,0.49103864051994595,100.0,0.0,100.0198226225385,100.14009804574935,31.999999999999996,28.94025121470364,True
2,0,arb,submission,buy,0.01074964204798453,1.0716218852921884,99.67839436360673,-0.0001148259655774364,99.99838920907575,100.00000000000001,31.68059849242882,31.940251214703636,True
2,1,arb,normalizer,buy,0.0157798406562636,1.5731566499980545,99.67839436360673,0.0,99.99838920907575,100.00000000000001,31.68059849242882,31.940251214703636,True
2,2,retail,submission,buy,0.14905016464930546,14.835515023914922,99.67839436360673,0.021566067959060575,99.7019013908044,99.999864349645,30.27203917327386,30.236230220931056,False
2,3,retail,normalizer,buy,0.14743051099958146,14.67406979993575,99.67839436360673,0.0,99.7019013908044,99.999864349645,30.27203917327386,30.236230220931056,False
4,0,retail,submission,buy,0.15551325401927807,15.434136644535101,99.81775621291175,0.08884743303781484,99.39391730334653,99.99935973193968,30.4705267925966,30.39765262902255,False
4,1,retail,normalizer,buy,0.1484142614386732,14.728546350501347,99.81775621291175,0.0,99.39391730334653,99.99935973193968,30.4705267925966,30.39765262902255,False
5,0,arb,submission,sell,0.0707609660183266,7.059634401363233,99.83778655022516,-0.004983820062193445,99.53430311474473,99.85945858197046,30.11617524937056,30.077037960686038,True
5,1,arb,normalizer,sell,0.0741283616705033,7.395342174465095,99.83778655022516,0.0,99.53430311474473,99.85945858197046,30.11617524937056,30.077037960686038,True
6,0,arb,submission,sell,0.025754277943889292,2.571828229076086,99.88589919778433,-0.0006609815389597706,99.58547199959342,99.74148723216015,30.275948121699102,30.25716307829086,True
6,1,arb,normalizer,sell,0.024142505134889802,2.410914984412395,99.88589919778433,0.0,99.58547199959342,99.74148723216015,30.275948121699102,30.25716307829086,True
6,2,retail,submission,buy,0.1314003766843006,13.028917931953401,99.88589919778433,0.09612684808553773,99.32560403965071,99.7402365748098,30.017820766689095,29.96783137215962,False
6,3,retail,normalizer,buy,0.13317784728931925,13.20539562880549,99.88589919778433,0.0,99.32560403965071,99.7402365748098,30.017820766689095,29.96783137215962,False
7,0,arb,submission,sell,0.13922736302285443,13.88968145627003,99.90120370558397,-0.019299698467440507,99.60182146293148,99.75726804681258,30.50301409403851,30.484300535392546,True
7,1,arb,normalizer,sell,0.1404543251891397,14.011915063515731,99.90120370558397,0.0,99.60182146293148,99.75726804681258,30.50301409403851,30.484300535392546,True
8,0,arb,submission,sell,0.06795769733614065,6.794015326026077,100.04203460294946,-0.004610982412872389,99.73706345804862,99.89548724654254,30.939034711691924,30.91998886515821,True
8,1,arb,normalizer,sell,0.07055136445002574,7.053132388028318,100.04203460294946,0.0,99.73706345804862,99.89548724654254,30.939034711691924,30.91998886515821,True
9,0,arb,normalizer,sell,0.0017211494826767648,0.17219025592725778,100.0454739906732,0.0,99.73706345804862,99.89548724654254,30.939034711691924,30.91998886515821,True
9,1,retail,submission,buy,0.048421556814582926,4.81216225463686,100.0454739906732,0.03219534824440107,99.64096998247419,99.75573141630534,31.45293569501714,31.43912265602188,True
9,2,retail,normalizer,buy,0.05731496904394023,5.696499227758977,100.0454739906732,0.0,99.64096998247419,99.75573141630534,31.45293569501714,31.43912265602188,True
10,0,arb,submission,sell,0.05506949845918996,5.5075113666121,100.06520297664015,-0.00302917452851581,99.75060675764193,99.89548724654254,31.828527816047227,31.811111338399826,True
10,1,arb,normalizer,sell,0.06701415236338448,6.701299219330924,100.06520297664015,0.0,99.75060675764193,99.89548724654254,31.828527816047227,31.811111338399826,True
10,2,retail,submission,buy,0.042130484369662824,4.187408942027105,100.06520297664015,0.028386527927371397,99.66698060953674,99.89432681438001,30.19026384318977,30.162922326005543,False
10,3,retail,normalizer,buy,0.058585408517530385,5.82384170477053,100.06520297664015,0.0,99.66698060953674,99.89432681438001,30.19026384318977,30.162922326005543,False
11,0,retail,submission,buy,0.026833032361340232,2.6655814219830063,99.91246127540013,0.015372884720957991,99.61376492947927,99.75457260761114,30.84779727703703,30.830846820826622,True
11,1,retail,normalizer,buy,0.01857707681798051,1.845286864632726,99.91246127540013,0.0,99.61376492947927,99.75457260761114,30.84779727703703,30.830846820826622,True
12,0,arb,submission,sell,0.03547469319948959,3.5459518322610277,99.99262688241636,-0.0012559286037281403,99.68434114615398,99.84449018108087,31.387278112732943,31.368014847305695,True
12,1,arb,normalizer,sell,0.04060414989110939,4.05847023697936,99.99262688241636,0.0,99.68434114615398,99.84449018108087,31.387278112732943,31.368014847305695,True
12,2,retail,submission,sell,0.021363466840611522,2.1367600440235854,99.99262688241636,0.0005708753154434199,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
