step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,30.83289550303134,False,True,bad
2,99.67839436360673,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,32.18702781201051,False,True,bad
3,99.8426241003642,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,15.724624491114632,True,True,ok
4,99.81775621291175,99.99880291759135,99.39398708188521,100.54593629128675,0.0,97.61998559161208,99.99880291759135,100.97499108759072,18.12129635412216,False,True,bad
5,99.83778655022516,99.99880291759135,99.39398708188521,100.54593629128675,0.0,97.61998559161208,99.99880291759135,100.97499108759072,16.114806866937624,False,True,bad
6,99.88589919778433,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,11.20536923311964,False,True,good
7,99.90120370558397,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,9.673287571474338,False,True,good
8,100.04203460294946,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,4.413802529329287,True,True,good
9,100.0454739906732,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,4.757590879562749,True,True,good
10,100.06520297664015,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,6.729398314314392,True,True,good
11,99.91246127540013,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,8.546480770833675,False,True,good
12,99.99262688241636,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,0.5261135003172576,False,True,good
13,99.95253665671771,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,4.536235628433018,False,True,good
14,100.03152588873687,99.9978877678998,99.02176697320112,100.92388571067264,0.0,127.91169983782542,99.9978877678998,101.27697774835822,3.3633174780891792,True,True,good
15,100.05654516501023,100.12385687195554,99.14902194072656,100.43368629421373,0.0,127.91169983782542,100.12385687195554,101.40455814463664,6.725104835167628,False,True,good
16,99.97388834514528,100.12385687195554,99.14902194072656,100.43368629421373,0.0,127.91169983782542,100.12385687195554,101.40455814463664,14.98952971483033,False,True,bad
17,100.07719565982246,100.11120315209533,98.51012190282643,101.0850618558349,0.0,102.39774956242783,100.11120315209533,101.13631934297149,3.397548789222815,False,True,good
18,100.13557486812107,100.24865875873962,99.56231996885258,100.5923631296165,0.0,153.09699592148948,100.24865875873962,101.78343560885178,11.286706601269497,False,True,good
19,100.11344546636744,100.24865875873962,99.56231996885258,100.5923631296165,0.0,153.09699592148948,100.24865875873962,101.78343560885178,13.496894876523161,False,True,bad
20,100.0115430175656,100.24865875873962,99.56231996885258,100.5923631296165,0.0,153.09699592148948,100.24865875873962,101.78343560885178,23.680776297913237,False,True,bad
21,99.98132429804349,100.24865875873962,99.56231996885258,100.5923631296165,0.0,153.09699592148948,100.24865875873962,101.78343560885178,26.702756047261303,False,True,bad
22,99.88417390966177,100.24347515502662,98.30828520499996,101.87553392320297,0.0,86.51669695175111,100.24347515502662,101.1107485911644,35.90724550978312,False,True,bad
23,99.92738125027716,100.24347515502662,98.30828520499996,101.87553392320297,0.0,86.51669695175111,100.24347515502662,101.1107485911644,31.5824364411322,False,True,bad
24,99.75791687241569,100.24347515502662,98.30828520499996,101.87553392320297,0.0,86.51669695175111,100.24347515502662,101.1107485911644,48.55558570535071,False,True,bad
25,100.03476597428987,100.24347515502662,98.30828520499996,101.87553392320297,0.0,86.51669695175111,100.24347515502662,101.1107485911644,20.841930217698934,False,True,bad
26,100.12666195291955,100.23714682208046,97.02355356923741,103.22451276933377,0.0,86.51669695175111,100.23714682208046,101.10436550757187,11.028426843611287,False,True,good
27,99.99357893239292,100.20232663481873,99.99357893239292,100.86624032709712,0.0,86.51669695175111,100.20232663481873,101.06924406755122,20.854350391302244,False,True,bad
