step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
0,0,retail,normalizer,sell,0.014803289730622282,1.4850031523508331,100.0,0.0,100.0,100.0,37.0,37.0,False
2,0,arb,normalizer,buy,0.025717527865206848,2.5641392682955484,99.67839436360673,0.0,100.0,100.0,37.0,37.0,False
2,1,retail,submission,buy,0.13608432524148836,13.53972405582499,99.67839436360673,0.024942982301407568,99.72938884301101,99.99998649994015,35.51136444581642,35.478848729211656,False
2,2,retail,normalizer,buy,0.16039635040739855,15.962526935714777,99.67839436360673,0.0,99.72938884301101,99.99998649994015,35.51136444581642,35.478848729211656,False
4,0,retail,submission,buy,0.15573791029980294,15.45254407635548,99.81775621291175,0.09286468705856699,99.42099518896785,99.99997340488379,35.65297690928417,35.58329779138618,False
4,1,retail,normalizer,buy,0.14818960515814833,14.702491803976955,99.81775621291175,0.0,99.42099518896785,99.99997340488379,35.65297690928417,35.58329779138618,False
5,0,arb,submission,sell,0.03102256377314916,3.096266047591603,99.83778655022516,-0.0009580526328103467,99.48253078126021,99.86007139637357,35.08608345283931,35.04062917129719,True
5,1,arb,normalizer,sell,0.0868313212484253,8.66154336729823,99.83778655022516,0.0,99.48253078126021,99.86007139637357,35.08608345283931,35.04062917129719,True
6,0,arb,submission,sell,0.026878604360092595,2.684073800190613,99.88589919778433,-0.0007197654987223245,99.53589272246123,99.72036511363525,35.07917255409246,35.05695323994767,True
6,1,arb,normalizer,sell,0.024142505134889802,2.410914984410571,99.88589919778433,0.0,99.53589272246123,99.72036511363525,35.07917255409246,35.05695323994767,True
6,2,retail,submission,buy,0.10678495731100228,10.58041812211195,99.88589919778433,0.08589335969452527,99.32488792124136,99.71888615930112,34.64130682695083,32.05695323994767,False
6,3,retail,normalizer,buy,0.15779326666261756,15.642338699009997,99.88589919778433,0.0,99.32488792124136,99.71888615930112,34.64130682695083,32.05695323994767,False
7,0,arb,submission,sell,0.1290894992239089,12.879605013187863,99.90120370558397,-0.01659134503168147,99.58095088400353,99.74114673224459,31.64130682695083,32.04150678005172,True
7,1,arb,normalizer,sell,0.16499589830432626,16.45619096141393,99.90120370558397,0.0,99.58095088400353,99.74114673224459,31.64130682695083,32.04150678005172,True
8,0,arb,submission,sell,0.0706362322253824,7.061611283457809,100.04203460294946,-0.004981105055870572,99.7214848499474,99.88088212962445,31.445993569640006,31.4268277913472,True
8,1,arb,normalizer,sell,0.07055136445003996,7.053132388030143,100.04203460294946,0.0,99.7214848499474,99.88088212962445,31.445993569640006,31.4268277913472,True
9,0,arb,submission,sell,0.0048087067656013005,0.481066245708124,100.0454739906732,-2.3101938615155415e-05,99.7310628024323,99.87615665330053,30.827400653443913,30.809955130028815,False
9,1,arb,normalizer,sell,0.001721149482662554,0.17219025592725778,100.0454739906732,0.0,99.7310628024323,99.87615665330053,30.827400653443913,30.809955130028815,False
9,2,retail,submission,buy,0.04719180730014351,4.689776816225276,100.0454739906732,0.03154991359409287,99.63741547057165,99.87493436648586,29.41171528983184,29.3831433567831,False
9,3,retail,normalizer,buy,0.058544718558379644,5.818652060688692,100.0454739906732,0.0,99.63741547057165,99.87493436648586,29.41171528983184,29.3831433567831,False
10,0,arb,submission,sell,0.06718002053338523,6.717874487548314,100.06520297664015,-0.004507903099732147,99.77117995623135,99.92389522480853,30.116918975338628,30.09856516044094,True
10,1,arb,normalizer,sell,0.06824021262927715,6.823819613442974,100.06520297664015,0.0,99.77117995623135,99.92389522480853,30.116918975338628,30.09856516044094,True
10,2,retail,submission,buy,0.051616889314388716,5.131730267961757,100.06520297664015,0.033324238305318055,99.66868917705165,99.92267143023845,31.24482175397457,27.09856516044094,False
10,3,retail,normalizer,buy,0.049099003572804494,4.881280704812525,100.06520297664015,0.0,99.66868917705165,99.92267143023845,31.24482175397457,27.09856516044094,False
11,0,retail,submission,buy,0.019863920671605865,1.9732349619425804,99.91246127540013,0.011418242936860779,99.62929380111775,99.91811904602015,32.722946223410496,24.098565160440945,False
11,1,retail,normalizer,buy,0.025546188507714878,2.537841585883143,99.91246127540013,0.0,99.62929380111775,99.91811904602015,32.722946223410496,24.098565160440945,False
12,0,arb,submission,sell,0.061467778299999054,6.142553620810592,99.99262688241636,-0.003771000032302574,99.75165899896739,99.85615995535375,30.77918027378506,24.766615520728735,True
12,1,arb,normalizer,sell,0.038094408515888745,3.8077116826086606,99.99262688241636,0.0,99.75165899896739,99.85615995535375,30.77918027378506,24.766615520728735,True
12,2,retail,submission,sell,0.021032234016843177,2.1036510680164686,99.99262688241636,0.0005827394666035879,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
12,3,retail,normalizer,sell,0.02439128769997012,2.439543051001302,99.99262688241636,0.0,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
12,4,retail,submission,sell,0.03874427618623599,3.876364614816754,99.99262688241636,0.0022226622971688315,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
12,5,retail,normalizer,sell,0.02370466624859091,2.3720083292320617,99.99262688241636,0.0,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
12,6,retail,submission,buy,0.06837834805771595,6.804827411939186,99.99262688241636,0.032503232232003576,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
12,7,retail,normalizer,buy,0.019979583949516683,1.987355398163345,99.99262688241636,0.0,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
12,8,retail,submission,sell,0.04335078684668758,4.335051466127516,99.99262688241636,0.0002924119075213838,99.8213245122397,99.85148887039287,22.615050267608694,19.126494496813326,False
14,0,arb,submission,sell,0.009462076726705959,0.9464164939724276,100.03152588873687,-8.947907627421259e-05,99.840200645795,99.84719715197045,19.61505026760869,17.99957955246535,False
15,0,arb,submission,sell,0.018162055964168644,1.8169027898840646,100.05654516501023,-0.00032978298421881824,99.87644759056599,99.96617463936582,20.224949117485334,14.99957955246535,True
15,1,arb,normalizer,sell,0.0038190811162479577,0.38210948691251495,100.05654516501023,0.0,99.87644759056599,99.96617463936582,20.224949117485334,14.99957955246535,True
15,2,retail,submission,sell,0.10653168005255509,10.667346376248918,100.05654516501023,0.008154519566019758,100.0894563172196,99.96539178501145,21.16050089123744,11.99957955246535,False
