step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,30.83289550303134,False,True,bad
2,99.67839436360673,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,32.18702781201051,False,True,bad
3,99.8426241003642,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,15.724624491114632,True,True,ok
4,99.81775621291175,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,99.7388060300056,100.97499108759072,18.12129635412216,True,True,ok
5,99.83778655022516,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,99.7388060300056,100.97499108759072,16.114806866937624,True,True,ok
6,99.88589919778433,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,11.20536923311964,True,True,good
7,99.90120370558397,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,9.673287571474338,True,True,good
8,100.04203460294946,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,4.413802529329287,True,True,good
9,100.0454739906732,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,4.757590879562749,True,True,good
10,100.06520297664015,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,6.729398314314392,True,True,good
11,99.91246127540013,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,8.546480770833675,True,True,good
12,99.99262688241636,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,0.5261135003172576,True,True,good
13,99.95253665671771,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,4.536235628433018,True,True,good
14,100.03152588873687,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,99.76789262603363,101.14757091596597,3.3633174780891792,True,True,good
15,100.05654516501023,100.09980145796871,99.05044792343202,100.43348032653896,22.99999999999999,114.97074325556297,99.86957191461538,101.2506563153044,4.322250516830095,True,True,good
16,99.97388834514528,100.09980145796871,99.05044792343202,100.43348032653896,22.99999999999999,114.97074325556297,99.86957191461538,101.2506563153044,12.586675396492643,True,True,ok
17,100.07719565982246,100.08617539515356,98.45854450127797,101.03725647420838,16.999999999999986,83.44951575179834,99.9160288969818,100.92138968217108,0.8972406179806282,True,True,good
18,100.13557486812107,100.22396038033072,99.57061250801571,100.57950187094167,10.999999999999988,135.51638697281652,100.11371402391237,101.58215928021563,8.822691451477018,True,True,good
19,100.11344546636744,100.22396038033072,99.57061250801571,100.57950187094167,10.999999999999988,135.51638697281652,100.11371402391237,101.58215928021563,11.032879726730018,False,True,good
